"85","Cable row","Wiosłowanie na wyciągu nachwytem","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_nachwytem.mp4"
"86","Cable row neutral grip","Wiosłowanie na wyciągu chwytem neutralnym","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_chwytem_neutralnym.mp4"
"87","Cable row reverse grip","Wiosłowanie na wyciągu podchwytem","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_podchwytem.mp4"
"88","DB back flyers","Odwrotne rozpiętki hantlami","PULL HORIZONTAL, HIGH","odwrotne_rozpietki_hantlami.mp4"
"89","DB chest supported back flyers","Odwrotne rozpiętki hantlami na ławce","PULL HORIZONTAL, HIGH","odwrotne_rozpietki_hantlami_na_lawce.mp4"
"90","DB chest supported row","Wiosłowanie hantlami w oparciu o ławkę","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_hantlami_w_oparciu_o_lawke.mp4"
"91","DB one hand row","Wiosłowanie hantlem jednorącz ","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_hantlem_jednoracz.mp4"
"92","Db row","Wiosłowanie hantlami","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_hantlami.mp4"
"93","Db row rotation","Wiosłowanie hantlami z rotacją","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_hantlami_z_rotacja.mp4"
"94","KB chest supported row ","Wiosłowanie kettlami  w oparciu o ławkę","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_kettlami_w_oparciu_o_lawke.mp4"
"95","KB Gorilla row","Goryle wiosłowanie","PULL HORIZONTAL, HIGH, PLECY","goryle_wioslowanie.mp4"
"96","KB one hand row","Wiosłowanie kettlem jednorącz","PULL HORIZONTAL, HIGH, PLECY, ŁAWKA","wioslowanie_kettlem_jednoracz.mp4"
"97","KB row","Wiosłowanie kettlami ","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_kettlami.mp4"
"98","Powerband chest row","Przyciąganie gumy do klatki piersiowej","PULL HORIZONTAL, HIGH, PLECY, GUMA","przyciaganie_gumy_do_klatki_piersiowej.mp4"
"99","Powerband extension","Rozciąganie gumy przed klatką piersiową","PULL HORIZONTAL, HIGH, GUMA","rozciaganie_gumy_przed_klatka_piersiowa.mp4"
"100","Powerband one arm row","Wiosłowanie gumą jednorącz","PULL HORIZONTAL, HIGH, PLECY, GUMA","wioslowanie_guma_jednoracz.mp4"
"101","Powerband row","Wiosłowanie gumą ","PULL HORIZONTAL, HIGH, PLECY,GUMA","wioslowanie_guma.mp4"
"102","Y rise","Wznosy hantli Y","PULL HORIZONTAL, HIGH","wznosy_hantli_Y.mp4"
"103","Y rise Chest supported ","Wznosy hantli Y w oparciu o ławkę","PULL HORIZONTAL, HIGH","wznosy_hantli_Y_w_oparciu_o_lawke.mp4"
"104","Y rise Lying","Wznosy ramion Y w leżeniu","PULL HORIZONTAL, HIGH","wznosy_ramion_Y_w_lezeniu.mp4"
"105","BB Military press","Wyciskanie żołnierskie","PUSH VERTICAL, HIGH, BARKI","wyciskanie_zolnierskie.mp4"
"106","BB OHP Behind neck","Wyciskanie sztangi zza karku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_sztangi_zza_karku.mp4"
"107","BB Push press","Podrzuty sztangą","PUSH VERTICAL, HIGH, DYNAMIKA","podrzuty_sztanga.mp4"
"108","DB Arnold press","Arnoldki hantlami","PUSH VERTICAL, HIGH, BARKI","arnoldki_hantlami.mp4"
"109","DB half kneeling one arm ohp","Wyciskanie hantli nad głowę w półklęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_w_polkleku.mp4"
"110","DB kneeling ohp","Wyciskanie hantli nad głowę w klęku","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_w_kleku.mp4"
"111","DB lateral rise","Wznosy hantli bokiem","PUSH VERTICAL, HIGH, BARKI","wznosy_hantli_bokiem.mp4"
"112","DB OHP","Wyciskanie hantli nad głowę","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe.mp4"
"113","DB OHP neutral grip","Wyciskanie hantli nad głowę chwytem neutralnym","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_chwytem_neutralnym.mp4"
"114","DB sitting Arnold press","Arnoldki hantlami siedząc","PUSH VERTICAL, HIGH, BARKI","arnoldki_hantlami_siedzac.mp4"
"115","DB Sitting ohp","Wyciskanie hantli nad głowę siedząc","PUSH VERTICAL, HIGH, BARKI","wyciskanie_hantli_nad_glowe_siedzac.mp4"
